year,predicted_score,country_code,country_name
2040,46.92,ARE,United Arab Emirates
2024,50.2,ARG,Argentina
2025,51.87,ARG,Argentina
2026,54.57,ARG,Argentina
2027,58.15,ARG,Argentina
2028,58.39,ARG,Argentina
2029,58.74,ARG,Argentina
2030,59.09,ARG,Argentina
2031,59.44,ARG,Argentina
2032,59.81,ARG,Argentina
2033,60.18,ARG,Argentina
2034,60.55,ARG,Argentina
2035,60.93,ARG,Argentina
2036,61.31,ARG,Argentina
2037,61.69,ARG,Argentina
2038,62.08,ARG,Argentina
2039,62.46,ARG,Argentina
2040,62.85,ARG,Argentina
2024,50.32,ARM,Armenia
2025,51.84,ARM,Armenia
2026,54.78,ARM,Armenia
2027,58.25,ARM,Armenia
2028,58.57,ARM,Armenia
2029,58.9,ARM,Armenia
2030,59.24,ARM,Armenia
2031,59.58,ARM,Armenia
2032,59.93,ARM,Armenia
2033,60.29,ARM,Armenia
2034,60.65,ARM,Armenia
2035,61.01,ARM,Armenia
2036,61.37,ARM,Armenia
2037,61.74,ARM,Armenia
2038,62.11,ARM,Armenia
2039,62.48,ARM,Armenia
2040,62.86,ARM,Armenia
2024,5.71,ASM,American Samoa
2025,5.71,ASM,American Samoa
2026,5.71,ASM,American Samoa
2027,5.71,ASM,American Samoa
2028,5.71,ASM,American Samoa
2029,59.89,ASM,American Samoa
2030,60.28,ASM,American Samoa
2031,60.66,ASM,American Samoa
2032,61.04,ASM,American Samoa
2033,61.42,ASM,American Samoa
2034,61.79,ASM,American Samoa
2035,62.16,ASM,American Samoa
2036,62.52,ASM,American Samoa
2037,62.88,ASM,American Samoa
2038,63.23,ASM,American Samoa
2039,63.58,ASM,American Samoa
2040,63.93,ASM,American Samoa
2024,5.71,ATG,Antigua and Barbuda
2025,5.71,ATG,Antigua and Barbuda
2026,5.71,ATG,Antigua and Barbuda
2027,5.71,ATG,Antigua and Barbuda
2028,5.71,ATG,Antigua and Barbuda
2029,61.0,ATG,Antigua and Barbuda
2030,61.39,ATG,Antigua and Barbuda
2031,61.79,ATG,Antigua and Barbuda
2032,62.18,ATG,Antigua and Barbuda
2033,62.56,ATG,Antigua and Barbuda
2034,62.94,ATG,Antigua and Barbuda
2035,63.32,ATG,Antigua and Barbuda
2036,63.69,ATG,Antigua and Barbuda
2037,64.06,ATG,Antigua and Barbuda
2038,64.42,ATG,Antigua and Barbuda
2039,64.78,ATG,Antigua and Barbuda
2040,65.14,ATG,Antigua and Barbuda
2024,42.04,AUS,Australia
2025,45.18,AUS,Australia
2026,48.76,AUS,Australia
2027,52.25,AUS,Australia
2028,52.65,AUS,Australia
2029,53.13,AUS,Australia
2030,53.61,AUS,Australia
2031,54.09,AUS,Australia
2032,54.55,AUS,Australia
2033,54.98,AUS,Australia
2034,55.37,AUS,Australia
2035,55.74,AUS,Australia
2036,56.11,AUS,Australia
2037,56.47,AUS,Australia
2038,56.83,AUS,Australia
2039,57.18,AUS,Australia
2040,57.53,AUS,Australia
2024,63.53,AUT,Austria
2025,61.95,AUT,Austria
2026,58.65,AUT,Austria
2027,53.92,AUT,Austria
2028,54.48,AUT,Austria
2029,54.9,AUT,Austria
2030,55.32,AUT,Austria
2031,55.74,AUT,Austria
2032,56.17,AUT,Austria
2033,56.59,AUT,Austria
2034,57.02,AUT,Austria
2035,57.45,AUT,Austria
2036,57.88,AUT,Austria
2037,58.3,AUT,Austria
2038,58.74,AUT,Austria
2039,59.17,AUT,Austria
2040,59.61,AUT,Austria
2024,42.43,AZE,Azerbaijan
2025,46.38,AZE,Azerbaijan
2026,51.74,AZE,Azerbaijan
2027,58.02,AZE,Azerbaijan
2028,58.53,AZE,Azerbaijan
2029,58.86,AZE,Azerbaijan
2030,59.19,AZE,Azerbaijan
2031,59.53,AZE,Azerbaijan
2032,59.88,AZE,Azerbaijan
2033,60.24,AZE,Azerbaijan
2034,60.6,AZE,Azerbaijan
2035,60.96,AZE,Azerbaijan
2036,61.32,AZE,Azerbaijan
2037,61.69,AZE,Azerbaijan
2038,62.06,AZE,Azerbaijan
2039,62.43,AZE,Azerbaijan
2040,62.8,AZE,Azerbaijan
2024,5.71,BDI,Burundi
2025,5.71,BDI,Burundi
2026,5.71,BDI,Burundi
2027,5.71,BDI,Burundi
2028,5.71,BDI,Burundi
2029,59.39,BDI,Burundi
2030,59.77,BDI,Burundi
2031,60.15,BDI,Burundi
2032,60.53,BDI,Burundi
2033,60.9,BDI,Burundi
2034,61.26,BDI,Burundi
2035,61.63,BDI,Burundi
2036,61.98,BDI,Burundi
2037,62.34,BDI,Burundi
2038,62.69,BDI,Burundi
2039,63.03,BDI,Burundi
2040,63.37,BDI,Burundi
2024,45.75,BEL,Belgium
2025,48.71,BEL,Belgium
2026,51.42,BEL,Belgium
2027,55.08,BEL,Belgium
2028,55.76,BEL,Belgium
2029,56.19,BEL,Belgium
2030,56.62,BEL,Belgium
2031,57.05,BEL,Belgium
2032,57.48,BEL,Belgium
2033,57.91,BEL,Belgium
2034,58.34,BEL,Belgium
2035,58.78,BEL,Belgium
2036,59.21,BEL,Belgium
2037,59.65,BEL,Belgium
2038,60.09,BEL,Belgium
2039,60.53,BEL,Belgium
2040,60.98,BEL,Belgium
2024,74.07,BEN,Benin
2025,71.88,BEN,Benin
2026,68.54,BEN,Benin
2027,60.9,BEN,Benin
2028,61.08,BEN,Benin
2029,61.4,BEN,Benin
2030,61.73,BEN,Benin
2031,62.06,BEN,Benin
2032,62.39,BEN,Benin
2033,62.73,BEN,Benin
2034,63.08,BEN,Benin
2035,63.43,BEN,Benin
2036,63.79,BEN,Benin
2037,64.15,BEN,Benin
2038,64.51,BEN,Benin
2039,64.87,BEN,Benin
2040,65.23,BEN,Benin
2024,83.85,BFA,Burkina Faso
2025,81.7,BFA,Burkina Faso
2026,77.85,BFA,Burkina Faso
2027,71.74,BFA,Burkina Faso
2028,60.93,BFA,Burkina Faso
2029,61.27,BFA,Burkina Faso
2030,61.61,BFA,Burkina Faso
2031,61.96,BFA,Burkina Faso
2032,62.32,BFA,Burkina Faso
2033,62.69,BFA,Burkina Faso
2034,63.05,BFA,Burkina Faso
2035,63.42,BFA,Burkina Faso
2036,63.79,BFA,Burkina Faso
2037,64.16,BFA,Burkina Faso
2038,64.53,BFA,Burkina Faso
2039,64.9,BFA,Burkina Faso
2040,65.28,BFA,Burkina Faso
2024,63.57,BGD,Bangladesh
2025,62.83,BGD,Bangladesh
2026,61.43,BGD,Bangladesh
2027,60.32,BGD,Bangladesh
2028,60.57,BGD,Bangladesh
2029,60.89,BGD,Bangladesh
2030,61.21,BGD,Bangladesh
2031,61.54,BGD,Bangladesh
2032,61.87,BGD,Bangladesh
2033,62.21,BGD,Bangladesh
2034,62.55,BGD,Bangladesh
2035,62.9,BGD,Bangladesh
2036,63.26,BGD,Bangladesh
2037,63.62,BGD,Bangladesh
2038,63.98,BGD,Bangladesh
2039,64.34,BGD,Bangladesh
2040,64.7,BGD,Bangladesh
2024,54.11,BGR,Bulgaria
2025,54.57,BGR,Bulgaria
2026,54.36,BGR,Bulgaria
2027,54.58,BGR,Bulgaria
2028,54.97,BGR,Bulgaria
2029,55.31,BGR,Bulgaria
2030,55.66,BGR,Bulgaria
2031,56.02,BGR,Bulgaria
2032,56.38,BGR,Bulgaria
2033,56.75,BGR,Bulgaria
2034,57.11,BGR,Bulgaria
2035,57.48,BGR,Bulgaria
2036,57.85,BGR,Bulgaria
2037,58.23,BGR,Bulgaria
2038,58.6,BGR,Bulgaria
2039,58.98,BGR,Bulgaria
2040,59.36,BGR,Bulgaria
2024,5.9,BHR,Bahrain
2025,5.86,BHR,Bahrain
2026,5.81,BHR,Bahrain
2027,10.0,BHR,Bahrain
2028,25.28,BHR,Bahrain
2029,25.59,BHR,Bahrain
2030,25.91,BHR,Bahrain
2031,26.22,BHR,Bahrain
2032,26.54,BHR,Bahrain
2033,26.86,BHR,Bahrain
2034,27.19,BHR,Bahrain
2035,27.51,BHR,Bahrain
2036,27.84,BHR,Bahrain
2037,28.17,BHR,Bahrain
2038,28.51,BHR,Bahrain
2039,28.84,BHR,Bahrain
2040,29.17,BHR,Bahrain
2024,5.71,BHS,"Bahamas, The"
2025,5.71,BHS,"Bahamas, The"
2026,5.71,BHS,"Bahamas, The"
2027,5.71,BHS,"Bahamas, The"
2028,5.71,BHS,"Bahamas, The"
2029,62.14,BHS,"Bahamas, The"
2030,62.55,BHS,"Bahamas, The"
2031,62.95,BHS,"Bahamas, The"
2032,63.34,BHS,"Bahamas, The"
2033,63.74,BHS,"Bahamas, The"
2034,64.12,BHS,"Bahamas, The"
2035,64.5,BHS,"Bahamas, The"
2036,64.88,BHS,"Bahamas, The"
2037,65.26,BHS,"Bahamas, The"
2038,65.63,BHS,"Bahamas, The"
2039,65.99,BHS,"Bahamas, The"
2040,66.35,BHS,"Bahamas, The"
2024,66.46,BIH,Bosnia and Herzegovina
2025,64.43,BIH,Bosnia and Herzegovina
2026,61.03,BIH,Bosnia and Herzegovina
2027,56.62,BIH,Bosnia and Herzegovina
2028,56.87,BIH,Bosnia and Herzegovina
2029,57.19,BIH,Bosnia and Herzegovina
2030,57.52,BIH,Bosnia and Herzegovina
2031,57.86,BIH,Bosnia and Herzegovina
2032,58.21,BIH,Bosnia and Herzegovina
2033,58.56,BIH,Bosnia and Herzegovina
2034,58.92,BIH,Bosnia and Herzegovina
2035,59.27,BIH,Bosnia and Herzegovina
2036,59.63,BIH,Bosnia and Herzegovina
2037,59.99,BIH,Bosnia and Herzegovina
2038,60.36,BIH,Bosnia and Herzegovina
2039,60.72,BIH,Bosnia and Herzegovina
2040,61.09,BIH,Bosnia and Herzegovina
2024,46.63,BLR,Belarus
2025,49.12,BLR,Belarus
2026,52.12,BLR,Belarus
2027,56.07,BLR,Belarus
2028,56.1,BLR,Belarus
2029,56.41,BLR,Belarus
2030,56.74,BLR,Belarus
2031,57.08,BLR,Belarus
2032,57.42,BLR,Belarus
2033,57.77,BLR,Belarus
2034,58.12,BLR,Belarus
2035,58.47,BLR,Belarus
2036,58.82,BLR,Belarus
2037,59.18,BLR,Belarus
2038,59.54,BLR,Belarus
2039,59.9,BLR,Belarus
2040,60.26,BLR,Belarus
2024,5.71,BLZ,Belize
2025,5.71,BLZ,Belize
2026,5.71,BLZ,Belize
2027,5.71,BLZ,Belize
2028,5.71,BLZ,Belize
2029,59.95,BLZ,Belize
2030,60.34,BLZ,Belize
2031,60.72,BLZ,Belize
2032,61.1,BLZ,Belize
2033,61.48,BLZ,Belize
2034,61.85,BLZ,Belize
2035,62.22,BLZ,Belize
2036,62.58,BLZ,Belize
2037,62.94,BLZ,Belize
2038,63.3,BLZ,Belize
2039,63.65,BLZ,Belize
2040,63.99,BLZ,Belize
2024,5.71,BMU,Bermuda
2025,5.71,BMU,Bermuda
2026,5.71,BMU,Bermuda
2027,5.71,BMU,Bermuda
2028,5.71,BMU,Bermuda
2029,67.15,BMU,Bermuda
2030,67.55,BMU,Bermuda
2031,67.94,BMU,Bermuda
2032,68.32,BMU,Bermuda
2033,68.7,BMU,Bermuda
2034,69.07,BMU,Bermuda
2035,69.44,BMU,Bermuda
2036,69.8,BMU,Bermuda
2037,70.15,BMU,Bermuda
2038,70.5,BMU,Bermuda
2039,70.84,BMU,Bermuda
2040,71.17,BMU,Bermuda
2024,56.35,BOL,Bolivia
2025,57.59,BOL,Bolivia
2026,58.03,BOL,Bolivia
2027,60.13,BOL,Bolivia
2028,60.3,BOL,Bolivia
2029,60.62,BOL,Bolivia
2030,60.95,BOL,Bolivia
2031,61.28,BOL,Bolivia
2032,61.61,BOL,Bolivia
2033,61.95,BOL,Bolivia
2034,62.3,BOL,Bolivia
2035,62.66,BOL,Bolivia
2036,63.01,BOL,Bolivia
2037,63.37,BOL,Bolivia
2038,63.73,BOL,Bolivia
2039,64.1,BOL,Bolivia
2040,64.46,BOL,Bolivia
2024,72.45,BRA,Brazil
2025,69.69,BRA,Brazil
2026,64.6,BRA,Brazil
2027,57.89,BRA,Brazil
2028,58.04,BRA,Brazil
2029,58.38,BRA,Brazil
2030,58.72,BRA,Brazil
2031,59.06,BRA,Brazil
2032,59.41,BRA,Brazil
2033,59.78,BRA,Brazil
2034,60.14,BRA,Brazil
2035,60.51,BRA,Brazil
2036,60.88,BRA,Brazil
2037,61.25,BRA,Brazil
2038,61.63,BRA,Brazil
2039,62.0,BRA,Brazil
2040,62.38,BRA,Brazil
2024,5.71,BRB,Barbados
2025,5.71,BRB,Barbados
2026,5.71,BRB,Barbados
2027,5.71,BRB,Barbados
2028,5.71,BRB,Barbados
2029,61.29,BRB,Barbados
2030,61.69,BRB,Barbados
2031,62.08,BRB,Barbados
2032,62.47,BRB,Barbados
2033,62.86,BRB,Barbados
2034,63.24,BRB,Barbados
2035,63.62,BRB,Barbados
2036,63.99,BRB,Barbados
2037,64.36,BRB,Barbados
2038,64.73,BRB,Barbados
2039,65.09,BRB,Barbados
2040,65.45,BRB,Barbados
2024,23.69,BRN,Brunei Darussalam
2025,28.81,BRN,Brunei Darussalam
2026,37.85,BRN,Brunei Darussalam
2027,47.59,BRN,Brunei Darussalam
2028,48.04,BRN,Brunei Darussalam
2029,48.41,BRN,Brunei Darussalam
2030,48.78,BRN,Brunei Darussalam
2031,49.15,BRN,Brunei Darussalam
2032,49.52,BRN,Brunei Darussalam
2033,49.9,BRN,Brunei Darussalam
2034,50.28,BRN,Brunei Darussalam
2035,50.67,BRN,Brunei Darussalam
2036,51.05,BRN,Brunei Darussalam
2037,51.44,BRN,Brunei Darussalam
2038,51.83,BRN,Brunei Darussalam
2039,52.22,BRN,Brunei Darussalam
2040,52.62,BRN,Brunei Darussalam
2024,5.71,BTN,Bhutan
2025,5.71,BTN,Bhutan
2026,5.71,BTN,Bhutan
2027,5.71,BTN,Bhutan
2028,5.71,BTN,Bhutan
2029,59.67,BTN,Bhutan
2030,60.06,BTN,Bhutan
2031,60.44,BTN,Bhutan
2032,60.82,BTN,Bhutan
2033,61.19,BTN,Bhutan
2034,61.56,BTN,Bhutan
2035,61.92,BTN,Bhutan
2036,62.28,BTN,Bhutan
2037,62.64,BTN,Bhutan
2038,62.99,BTN,Bhutan
2039,63.34,BTN,Bhutan
2040,63.68,BTN,Bhutan
2024,63.31,BWA,Botswana
2025,62.67,BWA,Botswana
2026,61.24,BWA,Botswana
2027,59.35,BWA,Botswana
2028,59.52,BWA,Botswana
2029,59.86,BWA,Botswana
2030,60.2,BWA,Botswana
2031,60.54,BWA,Botswana
2032,60.88,BWA,Botswana
2033,61.24,BWA,Botswana
2034,61.6,BWA,Botswana
2035,61.97,BWA,Botswana
2036,62.34,BWA,Botswana
2037,62.71,BWA,Botswana
2038,63.08,BWA,Botswana
2039,63.45,BWA,Botswana
2040,63.83,BWA,Botswana
2024,5.71,CAF,Central African Republic
2025,5.71,CAF,Central African Republic
2026,5.71,CAF,Central African Republic
2027,5.71,CAF,Central African Republic
2028,5.71,CAF,Central African Republic
2029,59.41,CAF,Central African Republic
2030,59.79,CAF,Central African Republic
2031,60.17,CAF,Central African Republic
2032,60.55,CAF,Central African Republic
2033,60.92,CAF,Central African Republic
2034,61.28,CAF,Central African Republic
2035,61.64,CAF,Central African Republic
2036,62.0,CAF,Central African Republic
2037,62.36,CAF,Central African Republic
2038,62.71,CAF,Central African Republic
2039,63.05,CAF,Central African Republic
2040,63.39,CAF,Central African Republic
2024,45.39,CAN,Canada
2025,45.65,CAN,Canada
2026,44.91,CAN,Canada
2027,43.87,CAN,Canada
2028,44.5,CAN,Canada
2029,44.97,CAN,Canada
2030,45.42,CAN,Canada
2031,45.83,CAN,Canada
2032,46.18,CAN,Canada
2033,46.53,CAN,Canada
2034,46.87,CAN,Canada
2035,47.21,CAN,Canada
2036,47.55,CAN,Canada
2037,47.88,CAN,Canada
2038,48.2,CAN,Canada
2039,48.52,CAN,Canada
2040,48.84,CAN,Canada
2024,55.43,CEB,Central Europe and the Baltics
2025,55.91,CEB,Central Europe and the Baltics
2026,56.18,CEB,Central Europe and the Baltics
2027,56.52,CEB,Central Europe and the Baltics
2028,56.91,CEB,Central Europe and the Baltics
2029,57.27,CEB,Central Europe and the Baltics
2030,57.64,CEB,Central Europe and the Baltics
2031,58.01,CEB,Central Europe and the Baltics
2032,58.37,CEB,Central Europe and the Baltics
2033,58.76,CEB,Central Europe and the Baltics
2034,59.14,CEB,Central Europe and the Baltics
2035,59.53,CEB,Central Europe and the Baltics
2036,59.92,CEB,Central Europe and the Baltics
2037,60.32,CEB,Central Europe and the Baltics
2038,60.71,CEB,Central Europe and the Baltics
2039,61.11,CEB,Central Europe and the Baltics
2040,61.5,CEB,Central Europe and the Baltics
2024,61.15,CHE,Switzerland
2025,60.99,CHE,Switzerland
2026,59.93,CHE,Switzerland
2027,58.0,CHE,Switzerland
2028,58.53,CHE,Switzerland
2029,58.98,CHE,Switzerland
2030,59.43,CHE,Switzerland
2031,59.87,CHE,Switzerland
2032,60.32,CHE,Switzerland
2033,60.76,CHE,Switzerland
2034,61.21,CHE,Switzerland
2035,61.65,CHE,Switzerland
2036,62.1,CHE,Switzerland
2037,62.54,CHE,Switzerland
2038,62.98,CHE,Switzerland
2039,63.42,CHE,Switzerland
2040,63.86,CHE,Switzerland
2024,5.71,CHI,Channel Islands
2025,5.71,CHI,Channel Islands
2026,5.71,CHI,Channel Islands
2027,5.71,CHI,Channel Islands
2028,5.71,CHI,Channel Islands
2029,64.32,CHI,Channel Islands
2030,64.73,CHI,Channel Islands
2031,65.13,CHI,Channel Islands
2032,65.53,CHI,Channel Islands
2033,65.93,CHI,Channel Islands
2034,66.32,CHI,Channel Islands
2035,66.71,CHI,Channel Islands
2036,67.09,CHI,Channel Islands
2037,67.46,CHI,Channel Islands
2038,67.83,CHI,Channel Islands
2039,68.2,CHI,Channel Islands
2040,68.56,CHI,Channel Islands
2024,59.71,CHL,Chile
2025,58.96,CHL,Chile
2026,57.39,CHL,Chile
2027,56.28,CHL,Chile
2028,56.56,CHL,Chile
2029,56.9,CHL,Chile
2030,57.25,CHL,Chile
2031,57.59,CHL,Chile
2032,57.95,CHL,Chile
2033,58.32,CHL,Chile
2034,58.69,CHL,Chile
2035,59.06,CHL,Chile
2036,59.43,CHL,Chile
2037,59.81,CHL,Chile
2038,60.19,CHL,Chile
2039,60.57,CHL,Chile
2040,60.95,CHL,Chile
2024,49.93,CHN,China
2025,50.83,CHN,China
2026,51.92,CHN,China
2027,53.52,CHN,China
2028,53.58,CHN,China
2029,53.98,CHN,China
2030,54.39,CHN,China
2031,54.79,CHN,China
2032,55.2,CHN,China
2033,55.61,CHN,China
2034,56.02,CHN,China
2035,56.43,CHN,China
2036,56.84,CHN,China
2037,57.26,CHN,China
2038,57.67,CHN,China
2039,58.09,CHN,China
2040,58.5,CHN,China
2024,78.32,CIV,Cote d'Ivoire
2025,74.89,CIV,Cote d'Ivoire
2026,69.12,CIV,Cote d'Ivoire
2027,60.66,CIV,Cote d'Ivoire
2028,60.84,CIV,Cote d'Ivoire
2029,61.16,CIV,Cote d'Ivoire
2030,61.5,CIV,Cote d'Ivoire
2031,61.83,CIV,Cote d'Ivoire
2032,62.17,CIV,Cote d'Ivoire
2033,62.51,CIV,Cote d'Ivoire
2034,62.87,CIV,Cote d'Ivoire
2035,63.23,CIV,Cote d'Ivoire
2036,63.59,CIV,Cote d'Ivoire
2037,63.95,CIV,Cote d'Ivoire
2038,64.31,CIV,Cote d'Ivoire
2039,64.68,CIV,Cote d'Ivoire
2040,65.05,CIV,Cote d'Ivoire
2024,83.45,CMR,Cameroon
2025,79.58,CMR,Cameroon
2026,72.95,CMR,Cameroon
2027,60.76,CMR,Cameroon
2028,60.94,CMR,Cameroon
2029,61.27,CMR,Cameroon
2030,61.6,CMR,Cameroon
2031,61.93,CMR,Cameroon
2032,62.26,CMR,Cameroon
2033,62.61,CMR,Cameroon
2034,62.97,CMR,Cameroon
2035,63.33,CMR,Cameroon
2036,63.68,CMR,Cameroon
2037,64.05,CMR,Cameroon
2038,64.41,CMR,Cameroon
2039,64.78,CMR,Cameroon
2040,65.14,CMR,Cameroon
2024,87.51,COD,"Congo, Dem. Rep."
2025,83.27,COD,"Congo, Dem. Rep."
2026,75.76,COD,"Congo, Dem. Rep."
2027,60.84,COD,"Congo, Dem. Rep."
2028,61.02,COD,"Congo, Dem. Rep."
2029,61.34,COD,"Congo, Dem. Rep."
2030,61.67,COD,"Congo, Dem. Rep."
2031,61.99,COD,"Congo, Dem. Rep."
2032,62.33,COD,"Congo, Dem. Rep."
2033,62.66,COD,"Congo, Dem. Rep."
2034,63.01,COD,"Congo, Dem. Rep."
2035,63.37,COD,"Congo, Dem. Rep."
2036,63.72,COD,"Congo, Dem. Rep."
2037,64.08,COD,"Congo, Dem. Rep."
2038,64.44,COD,"Congo, Dem. Rep."
2039,64.8,COD,"Congo, Dem. Rep."
2040,65.16,COD,"Congo, Dem. Rep."
2024,81.26,COG,"Congo, Rep."
2025,77.77,COG,"Congo, Rep."
2026,71.58,COG,"Congo, Rep."
2027,60.71,COG,"Congo, Rep."
2028,60.87,COG,"Congo, Rep."
2029,61.19,COG,"Congo, Rep."
2030,61.52,COG,"Congo, Rep."
2031,61.85,COG,"Congo, Rep."
2032,62.18,COG,"Congo, Rep."
2033,62.52,COG,"Congo, Rep."
2034,62.87,COG,"Congo, Rep."
2035,63.23,COG,"Congo, Rep."
2036,63.59,COG,"Congo, Rep."
2037,63.95,COG,"Congo, Rep."
2038,64.31,COG,"Congo, Rep."
2039,64.67,COG,"Congo, Rep."
2040,65.03,COG,"Congo, Rep."
2024,65.58,COL,Colombia
2025,64.09,COL,Colombia
2026,61.78,COL,Colombia
2027,59.37,COL,Colombia
2028,59.56,COL,Colombia
2029,59.9,COL,Colombia
2030,60.24,COL,Colombia
2031,60.59,COL,Colombia
2032,60.95,COL,Colombia
2033,61.31,COL,Colombia
2034,61.68,COL,Colombia
2035,62.05,COL,Colombia
2036,62.42,COL,Colombia
2037,62.79,COL,Colombia
2038,63.17,COL,Colombia
2039,63.55,COL,Colombia
2040,63.92,COL,Colombia
2024,5.71,COM,Comoros
2025,5.71,COM,Comoros
2026,5.71,COM,Comoros
2027,5.71,COM,Comoros
2028,5.71,COM,Comoros
2029,59.49,COM,Comoros
2030,59.87,COM,Comoros
2031,60.26,COM,Comoros
2032,60.63,COM,Comoros
2033,61.0,COM,Comoros
2034,61.37,COM,Comoros
2035,61.73,COM,Comoros
